t	RBG	i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i*	TB
794	4	63634.5	25218.7	15139.3	24456.2	16792.4	12720.2	4592	9723.92	6277.83	6947.53	4	488
794	5	63634.5	25218.7	15139.3	24456.2	16792.4	12720.2	4592	9723.92	6277.83	6947.53	4	488
794	6	63634.5	25218.7	15139.3	24456.2	16792.4	12720.2	4592	9723.92	6277.83	6947.53	4	488
794	7	63634.5	25218.7	15139.3	24456.2	16792.4	12720.2	4592	9723.92	6277.83	6947.53	4	488
794	8	63634.5	25218.7	15139.3	24456.2	16792.4	12720.2	4592	9723.92	6277.83	6947.53	4	488
794	9	63634.5	25218.7	15139.3	24456.2	16792.4	12720.2	4592	9723.92	6277.83	6947.53	4	488
794	10	63634.5	25218.7	15139.3	24456.2	16792.4	12720.2	4592	9723.92	6277.83	6947.53	4	488
794	11	63634.5	25218.7	15139.3	24456.2	16792.4	12720.2	4592	9723.92	6277.83	6947.53	4	488
794	12	63634.5	25218.7	15139.3	24456.2	16792.4	12720.2	4592	9723.92	6277.83	6947.53	4	488
801	1	63634.5	25218.7	15139.3	20993.4	7164.77	12720.2	1861.62	9723.92	6612.65	6947.53	4	488
801	2	63634.5	25218.7	15139.3	20993.4	7164.77	12720.2	1861.62	9723.92	6612.65	6947.53	4	488
801	3	63634.5	25218.7	15139.3	20993.4	7164.77	12720.2	1861.62	9723.92	6612.65	6947.53	4	488
801	4	63634.5	25218.7	15139.3	20993.4	7164.77	12720.2	1861.62	9723.92	6612.65	6947.53	4	488
801	5	63634.5	25218.7	15139.3	20993.4	7164.77	12720.2	1861.62	9723.92	6612.65	6947.53	4	488
801	6	63634.5	25218.7	15139.3	20993.4	7164.77	12720.2	1861.62	9723.92	6612.65	6947.53	4	488
801	7	63634.5	25218.7	15139.3	20993.4	7164.77	12720.2	1861.62	9723.92	6612.65	6947.53	4	488
801	8	63634.5	25218.7	15139.3	20993.4	7164.77	12720.2	1861.62	9723.92	6612.65	6947.53	4	488
801	9	63634.5	25218.7	15139.3	20993.4	7164.77	12720.2	1861.62	9723.92	6612.65	6947.53	4	488
801	10	63634.5	25218.7	15139.3	20993.4	7164.77	12720.2	1861.62	9723.92	6612.65	6947.53	4	488
801	11	63634.5	25218.7	15139.3	20993.4	7164.77	12720.2	1861.62	9723.92	6612.65	6947.53	4	488
801	12	63634.5	25218.7	15139.3	20993.4	7164.77	12720.2	1861.62	9723.92	6612.65	6947.53	4	488
802	1	33382	19853	4831.7	20993.4	7164.77	5152.48	1861.62	2205.43	6612.65	4369.06	4	256
802	2	33382	19853	4831.7	20993.4	7164.77	5152.48	1861.62	2205.43	6612.65	4369.06	4	256
802	3	33382	19853	4831.7	20993.4	7164.77	5152.48	1861.62	2205.43	6612.65	4369.06	4	256
802	4	33382	19853	4831.7	20993.4	7164.77	5152.48	1861.62	2205.43	6612.65	4369.06	4	256
802	5	33382	19853	4831.7	20993.4	7164.77	5152.48	1861.62	2205.43	6612.65	4369.06	4	256
802	6	33382	19853	4831.7	20993.4	7164.77	5152.48	1861.62	2205.43	6612.65	4369.06	4	256
802	7	33382	19853	4831.7	20993.4	7164.77	5152.48	1861.62	2205.43	6612.65	4369.06	4	256
802	8	33382	19853	4831.7	20993.4	7164.77	5152.48	1861.62	2205.43	6612.65	4369.06	4	256
802	9	33382	19853	4831.7	20993.4	7164.77	5152.48	1861.62	2205.43	6612.65	4369.06	4	256
802	10	33382	19853	4831.7	20993.4	7164.77	5152.48	1861.62	2205.43	6612.65	4369.06	4	256
802	11	33382	19853	4831.7	20993.4	7164.77	5152.48	1861.62	2205.43	6612.65	4369.06	4	256
802	12	33382	19853	4831.7	20993.4	7164.77	5152.48	1861.62	2205.43	6612.65	4369.06	4	256
803	1	33382	19853	4831.7	10172.1	17688	5152.48	1116.97	2205.43	8119.33	4369.06	4	256
803	2	33382	19853	4831.7	10172.1	17688	5152.48	1116.97	2205.43	8119.33	4369.06	4	256
803	3	33382	19853	4831.7	10172.1	17688	5152.48	1116.97	2205.43	8119.33	4369.06	4	256
803	4	33382	19853	4831.7	10172.1	17688	5152.48	1116.97	2205.43	8119.33	4369.06	4	256
803	5	33382	19853	4831.7	10172.1	17688	5152.48	1116.97	2205.43	8119.33	4369.06	4	256
803	6	33382	19853	4831.7	10172.1	17688	5152.48	1116.97	2205.43	8119.33	4369.06	4	256
803	7	33382	19853	4831.7	10172.1	17688	5152.48	1116.97	2205.43	8119.33	4369.06	4	256
803	8	33382	19853	4831.7	10172.1	17688	5152.48	1116.97	2205.43	8119.33	4369.06	4	256
803	9	33382	19853	4831.7	10172.1	17688	5152.48	1116.97	2205.43	8119.33	4369.06	4	256
803	10	33382	19853	4831.7	10172.1	17688	5152.48	1116.97	2205.43	8119.33	4369.06	4	256
803	11	33382	19853	4831.7	10172.1	17688	5152.48	1116.97	2205.43	8119.33	4369.06	4	256
803	12	33382	19853	4831.7	10172.1	17688	5152.48	1116.97	2205.43	8119.33	4369.06	4	256
804	1	63634.5	4829.1	7086.49	10172.1	17688	5957.56	1116.97	7518.5	8119.33	8093.51	4	488
804	2	63634.5	4829.1	7086.49	10172.1	17688	5957.56	1116.97	7518.5	8119.33	8093.51	4	488
804	3	63634.5	4829.1	7086.49	10172.1	17688	5957.56	1116.97	7518.5	8119.33	8093.51	4	488
804	4	63634.5	4829.1	7086.49	10172.1	17688	5957.56	1116.97	7518.5	8119.33	8093.51	4	488
804	5	63634.5	4829.1	7086.49	10172.1	17688	5957.56	1116.97	7518.5	8119.33	8093.51	4	488
804	6	63634.5	4829.1	7086.49	10172.1	17688	5957.56	1116.97	7518.5	8119.33	8093.51	4	488
804	7	63634.5	4829.1	7086.49	10172.1	17688	5957.56	1116.97	7518.5	8119.33	8093.51	4	488
804	8	63634.5	4829.1	7086.49	10172.1	17688	5957.56	1116.97	7518.5	8119.33	8093.51	4	488
804	9	63634.5	4829.1	7086.49	10172.1	17688	5957.56	1116.97	7518.5	8119.33	8093.51	4	488
804	10	63634.5	4829.1	7086.49	10172.1	17688	5957.56	1116.97	7518.5	8119.33	8093.51	4	488
804	11	63634.5	4829.1	7086.49	10172.1	17688	5957.56	1116.97	7518.5	8119.33	8093.51	4	488
804	12	63634.5	4829.1	7086.49	10172.1	17688	5957.56	1116.97	7518.5	8119.33	8093.51	4	488
805	1	63634.5	4829.1	7086.49	10172.1	17688	5957.56	9804.53	7518.5	8119.33	8093.51	4	488
805	2	63634.5	4829.1	7086.49	10172.1	17688	5957.56	9804.53	7518.5	8119.33	8093.51	4	488
805	3	63634.5	4829.1	7086.49	10172.1	17688	5957.56	9804.53	7518.5	8119.33	8093.51	4	488
805	4	63634.5	4829.1	7086.49	10172.1	17688	5957.56	9804.53	7518.5	8119.33	8093.51	4	488
805	5	63634.5	4829.1	7086.49	10172.1	17688	5957.56	9804.53	7518.5	8119.33	8093.51	4	488
805	6	63634.5	4829.1	7086.49	10172.1	17688	5957.56	9804.53	7518.5	8119.33	8093.51	4	488
805	7	63634.5	4829.1	7086.49	10172.1	17688	5957.56	9804.53	7518.5	8119.33	8093.51	4	488
805	8	63634.5	4829.1	7086.49	10172.1	17688	5957.56	9804.53	7518.5	8119.33	8093.51	4	488
805	9	63634.5	4829.1	7086.49	10172.1	17688	5957.56	9804.53	7518.5	8119.33	8093.51	4	488
805	10	63634.5	4829.1	7086.49	10172.1	17688	5957.56	9804.53	7518.5	8119.33	8093.51	4	488
805	11	63634.5	4829.1	7086.49	10172.1	17688	5957.56	9804.53	7518.5	8119.33	8093.51	4	488
805	12	63634.5	4829.1	7086.49	10172.1	17688	5957.56	9804.53	7518.5	8119.33	8093.51	4	488
806	1	63634.5	19853	15139.3	10172.1	17688	9821.92	9804.53	3709.12	8119.33	3366.33	4	488
806	2	63634.5	19853	15139.3	10172.1	17688	9821.92	9804.53	3709.12	8119.33	3366.33	4	488
806	3	63634.5	19853	15139.3	10172.1	17688	9821.92	9804.53	3709.12	8119.33	3366.33	4	488
806	4	63634.5	19853	15139.3	10172.1	17688	9821.92	9804.53	3709.12	8119.33	3366.33	4	488
806	5	63634.5	19853	15139.3	10172.1	17688	9821.92	9804.53	3709.12	8119.33	3366.33	4	488
806	6	63634.5	19853	15139.3	10172.1	17688	9821.92	9804.53	3709.12	8119.33	3366.33	4	488
806	7	63634.5	19853	15139.3	10172.1	17688	9821.92	9804.53	3709.12	8119.33	3366.33	4	488
806	8	63634.5	19853	15139.3	10172.1	17688	9821.92	9804.53	3709.12	8119.33	3366.33	4	488
806	9	63634.5	19853	15139.3	10172.1	17688	9821.92	9804.53	3709.12	8119.33	3366.33	4	488
