% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
1.651	1	2	166	2	2	20	1191	0	0
1.652	1	2	166	3	2	12	597	0	0
1.653	1	2	166	4	2	12	597	0	0
1.654	1	2	166	5	2	12	597	0	0
1.655	1	2	166	6	2	12	597	0	0
1.657	1	1	166	8	1	10	469	0	0
1.658	1	1	166	9	1	10	469	0	0
1.659	1	1	166	10	1	10	469	0	0
1.664	1	2	167	5	2	6	309	0	0
1.665	1	2	167	6	2	6	309	0	0
1.666	1	2	167	7	2	10	469	0	0
1.667	1	2	167	8	2	10	469	0	0
1.668	1	2	167	9	2	18	967	0	0
1.669	1	2	167	10	2	18	967	0	0
1.67	1	2	168	1	2	8	421	0	0
1.671	1	2	168	2	2	8	421	0	0
1.672	1	2	168	3	2	18	967	0	0
1.673	1	2	168	4	2	18	967	0	0
1.684	1	2	169	5	2	22	1383	0	0
1.685	1	2	169	6	2	22	1383	0	0
1.686	1	2	169	7	2	22	1383	0	0
1.687	1	2	169	8	2	22	1383	0	0
1.702	1	2	171	3	2	12	597	0	0
1.703	1	2	171	4	2	12	597	0	0
1.704	1	2	171	5	2	18	967	0	0
1.705	1	2	171	6	2	18	967	0	0
1.706	1	2	171	7	2	18	967	0	0
1.707	1	2	171	8	2	18	967	0	0
1.708	1	2	171	9	2	14	775	0	0
1.709	1	2	171	10	2	14	775	0	0
1.722	1	2	173	3	2	18	967	0	0
1.723	1	2	173	4	2	18	967	0	0
1.724	1	2	173	5	2	16	903	0	0
1.725	1	2	173	6	2	16	903	0	0
1.726	1	2	173	7	2	14	775	0	0
1.727	1	2	173	8	2	14	775	0	0
1.728	1	2	173	9	2	16	903	0	0
1.729	1	2	173	10	2	16	903	0	0
1.73	1	2	174	1	2	12	597	0	0
1.742	1	2	175	3	2	20	1191	0	0
1.743	1	2	175	4	2	20	1191	0	0
1.744	1	2	175	5	2	18	967	0	0
1.745	1	2	175	6	2	18	967	0	0
1.746	1	2	175	7	2	22	1383	0	0
1.747	1	2	175	8	2	22	1383	0	0
1.76	1	2	177	1	2	22	1383	0	0
1.761	1	2	177	2	2	22	1383	0	0
1.762	1	2	177	3	2	22	1383	0	0
